,WeaponType,ExecutePlace,Montage,PlayRate,index,IsSneak
1,Sword,Front,AnimMontage'/Game/Character/Montages/Execute/ATK/Frank_Damage_Critical_Katana_Montage.Frank_Damage_Critical_Katana_Montage',1,0,FALSE
2,Sword,Front,AnimMontage'/Game/Character/Montages/Execute/ATK/Frank_Damage_Critical_Warrior_Montage.Frank_Damage_Critical_Warrior_Montage',1,1,FALSE
3,Sword,Behind,AnimMontage'/Game/Character/Montages/Execute/ATK/Behind/Frank_Stealth_Kill_Behind_01_Montage.Frank_Stealth_Kill_Behind_01_Montage',1,0,TRUE
4,Sword,Behind,AnimMontage'/Game/Character/Montages/Execute/ATK/Behind/Frank_Stealth_Kill_Behind_03_Montage.Frank_Stealth_Kill_Behind_03_Montage',1,1,TRUE
5,Sword,Behind,AnimMontage'/Game/Character/Montages/Execute/ATK/Behind/Finisher01_B_A_Montage.Finisher01_B_A_Montage',1,2,FALSE
6,Sword,Air,AnimMontage'/Game/Character/Montages/Execute/ATK/Above/Paired_1HM_Stealth_SpinSwing_FromAbove_Att_Montage.Paired_1HM_Stealth_SpinSwing_FromAbove_Att_Montage',1,0,FALSE
7,Sword,Air,AnimMontage'/Game/Character/Montages/Execute/ATK/Above/Frank_Stealth_Kill_Top_03_Montage.Frank_Stealth_Kill_Top_03_Montage',1,1,FALSE
8,Sword,Air,AnimMontage'/Game/Character/Montages/Execute/ATK/Above/Frank_Stealth_Kill_Top_04_Montage.Frank_Stealth_Kill_Top_04_Montage',1,2,FALSE
9,Sword,Air,AnimMontage'/Game/Character/Montages/Execute/ATK/Above/Frank_Stealth_Kill_Top_05_Montage.Frank_Stealth_Kill_Top_05_Montage',1,3,FALSE
10,Sword,Ledge,AnimMontage'/Game/Character/Montages/Execute/ATK/Above/Frank_Stealth_Kill_Ledge_01_Montage.Frank_Stealth_Kill_Ledge_01_Montage',1,0,FALSE
11,Sword,Ledge,AnimMontage'/Game/Character/Montages/Execute/ATK/Above/Frank_Stealth_Kill_Ledge_02_Montage.Frank_Stealth_Kill_Ledge_02_Montage',1,1,FALSE
